Category,Emotion,Input_query,Response,Sentiment
Schedule related queries,Stress,My departure has been changed. Where should I go if I want more information?,"We are sorry for the inconvinience but you need not to worry. Go to the check-in counter, all the further details will be conveyed to you. ",Negative
Schedule related queries,Stress,"They've changed the date of my flight. For further information, where should I go?","We are sorry for the inconvinience but you need not to worry. Go to the check-in counter, all the further details will be conveyed to you. ",Negative
Schedule related queries,Stress,My flight has been rescheduled. Where can I find out more information?,"We are sorry for the inconvinience but you need not to worry. Go to the check-in counter, all the further details will be conveyed to you. ",Negative
Schedule related queries,Stress,My flight has been rescheduled. Where would it be advisable for me to go for the further subtleties?,"We are sorry for the inconvinience but you need not to worry. Go to the check-in counter, all the further details will be conveyed to you. ",Negative
Schedule related queries,Stress,I received message regarding change in my flight time. Where should I contact?,"We are sorry for the inconvinience but you need not to worry. Go to the check-in counter, all the further details will be conveyed to you. ",Negative
Schedule related queries,Stress,I received an SMS informing me of the time change for my flight. Whom should I speak with?,"We are sorry for the inconvinience but you need not to worry. Go to the check-in counter, all the further details will be conveyed to you. ",Negative
Schedule related queries,Stress,I got a notice about the change in my flight time. Where do I make contact?,"We are sorry for the inconvinience but you need not to worry. Go to the check-in counter, all the further details will be conveyed to you. ",Negative
Schedule related queries,Stress,"My flight schedule was changed, and I got a notice about it. Who do I speak with?","We are sorry for the inconvinience but you need not to worry. Go to the check-in counter, all the further details will be conveyed to you. ",Negative
Schedule related queries,Stress,I got message in regards to change in my flight time. It has caused a complete chaos for me. Where would it be a good idea for me to contact?,"We are sorry for the inconvinience but you need not to worry. Go to the check-in counter, all the further details will be conveyed to you. ",Negative
Schedule related queries,Anger,My flight has been rescheduled for the third time. Am I supposed to stay at the airport only.,"We deeply regret the inconvinience and also value your time. Kindly go to the information counter, all the further details will be conveyed to you.",Negative
Schedule related queries,Anger,I've had my flight rescheduled three times now. Should I solely stay at the airport?,"We deeply regret the inconvinience and also value your time. Kindly go to the information counter, all the further details will be conveyed to you.",Negative
Schedule related queries,Anger,"For the third time, my flight has been rescheduled. Is it expected that I merely stay at the airport.","We deeply regret the inconvinience and also value your time. Kindly go to the information counter, all the further details will be conveyed to you.",Negative
Schedule related queries,Anger,"The third time that day, my flight has been rescheduled. Should I just remain at the airport?","We deeply regret the inconvinience and also value your time. Kindly go to the information counter, all the further details will be conveyed to you.",Negative
Schedule related queries,Anger,My flight has been rescheduled a third time. Should I merely remain at the airport?,"We deeply regret the inconvinience and also value your time. Kindly go to the information counter, all the further details will be conveyed to you.",Negative
Schedule related queries,Anger,"For the third time, my flight has been rescheduled. Should I just stay at the airport?","We deeply regret the inconvinience and also value your time. Kindly go to the information counter, all the further details will be conveyed to you.",Negative
Schedule related queries,Anger,My flight has been rescheduled for the third time. Is it okay if I just stay at the airport?,"We deeply regret the inconvinience and also value your time. Kindly go to the information counter, all the further details will be conveyed to you.",Negative
Schedule related queries,Anger,My flight has been rescheduled yet again. Is it expected that I only stay at the airport?,"We deeply regret the inconvinience and also value your time. Kindly go to the information counter, all the further details will be conveyed to you.",Negative
Baggage related queries,Anger,I am unable to get my bag till now. How long will it take for me to get my bag back? ,We are very sorry for all the inconvinience caused to you. The authority takes the responsibility and will try their best to find your luggage as soon as possible. Once again the airport authority beg your pardon. ,Negative
Baggage related queries,Anger,"I lost my bag here. I don't get this thing, because of the carelessness of the authority or staffs, why would I suffer personal as well as professional loss. Get me my bag within an hour or I will take it officially against the authority. ",We are very sorry for all the inconvinience caused to you. The authority takes the responsibility and will try their best to find your luggage as soon as possible. Once again the airport authority beg your pardon. ,Negative
Baggage related queries,Anger,My bag was misplaced with someone few days back. I came here almost half a dozen times but still I did not got my bag back.,We are very sorry for all the inconvinience caused to you. The authority takes the responsibility and will try their best to find your luggage as soon as possible. Once again the airport authority beg your pardon. ,Negative
Baggage related queries,Anger,"My bag got lost here.I don't see why I would lose both personally and professionally due to the negligence of the authority or staff.Get my bag before an hour has passed, or I'll take it legally against the authorities.",We are very sorry for all the inconvinience caused to you. The authority takes the responsibility and will try their best to find your luggage as soon as possible. Once again the airport authority beg your pardon. ,Negative
Baggage related queries,Anger,"Here, I misplaced my bag.I don't understand why I would lose both personally and professionally as a result of the authority's or the staff's negligence.Within one hour, bring me my bag, or I'll take it officially against the authorities.",We are very sorry for all the inconvinience caused to you. The authority takes the responsibility and will try their best to find your luggage as soon as possible. Once again the airport authority beg your pardon. ,Negative
Baggage related queries,Anger,"Here, my bag is missing. I fail to comprehend why I would lose both personally and professionally as a result of the carelessness of the employees or the authority. I need my bag, and I need it now. If you don't provide it to me in an hour, I'll take legal action.",We are very sorry for all the inconvinience caused to you. The authority takes the responsibility and will try their best to find your luggage as soon as possible. Once again the airport authority beg your pardon. ,Negative
Baggage related queries,Anger,"A few days ago, someone misplaced my bag. I practically came here a dozen times, but I still haven't gotten my stuff back.",We are very sorry for all the inconvinience caused to you. The authority takes the responsibility and will try their best to find your luggage as soon as possible. Once again the airport authority beg your pardon. ,Negative
Baggage related queries,Anger,"Recently, someone misplaced my suitcase with them. Nearly a dozen times, I visited here, but my bag was never returned. Will I get my belongings back or not?",We are very sorry for all the inconvinience caused to you. The authority takes the responsibility and will try their best to find your luggage as soon as possible. Once again the airport authority beg your pardon. ,Negative
Baggage related queries,Anger,"I checked in my bag and got it back in torn condition. Now, who is going to take the responsibility because I am going to take some serious actions against them.",We are very sorry for all the inconvinience caused to you. The authority takes the responsibility and will try their best to find your luggage as soon as possible. Once again the airport authority beg your pardon. ,Negative
Baggage related queries,Anger,"I checked a bag, and when I got it back, it was torn. I'm going to take some significant action against them, so who's going to accept responsibility now?",We are very sorry for all the inconvinience caused to you. The authority takes the responsibility and will try their best to find your luggage as soon as possible. Once again the airport authority beg your pardon. ,Negative
Baggage related queries,Anger,My bag was ripped when I picked it up after checking it in. Who is going to accept responsibility now because I'm going to take harsh action against them?,We are very sorry for all the inconvinience caused to you. The authority takes the responsibility and will try their best to find your luggage as soon as possible. Once again the airport authority beg your pardon. ,Negative
Baggage related queries,Anger,My bag was ripped when it was returned after being checked in. Who will take the blame now beacuse I'm going to take some real action against them?,We are very sorry for all the inconvinience caused to you. The authority takes the responsibility and will try their best to find your luggage as soon as possible. Once again the airport authority beg your pardon. ,Negative
Baggage related queries,Anger,"I was supposed to be in the middle of a meeting right now, and what am I doing, searching my lost bag at the airport. This can't be more bad, personal as well as professional loss at once. Who takes the responsibility of this mishap now? ",We are very sorry for all the inconvinience caused to you. The authority takes the responsibility and will try their best to find your luggage as soon as possible. Once again the airport authority beg your pardon. ,Negative
Baggage related queries,Anger,"I should be in the middle of a meeting right now, not at the airport looking for my misplaced bag. This loss is terrible on both a personal and professional level all at once. Who now accepts responsibility for this accident?",We are very sorry for all the inconvinience caused to you. The authority takes the responsibility and will try their best to find your luggage as soon as possible. Once again the airport authority beg your pardon. ,Negative
Baggage related queries,Anger,"What am I doing, looking for my misplaced bag at the airport, when I should be in the middle of a meeting? There is no loss that is worse than this right now, either personally or professionally. Who is now taking accountability for this accident?",We are very sorry for all the inconvinience caused to you. The authority takes the responsibility and will try their best to find your luggage as soon as possible. Once again the airport authority beg your pardon. ,Negative
Baggage related queries,Stress,My bag has been exchanged with someone. It has important IDs. I don't know what to do. Please help me out.,"Please don't panic. Take the [direction]. You will find the baggage counter in front of you. Tell them your problem, they will handle everything.  ",Negative
Baggage related queries,Stress,I lost my bag somewhere on the airport. I am completely new to this city. Please help! I request the authority to order a search ASAP. ,"Please, don't panic. We understand what your belongings mean to you. Hence, the authority responds to baggage related queries immediately. You just need to report your issue. Go to the baggage query counter by following the sign boards. Stay calm, you will get your belongings soon. ",Negative
Baggage related queries,Stress,"Hey there! I need your help. I am looking for my bag for almost half an hour now, but still it didn't came to the belt. In no case i can bear the news of my bag being lost. ","Please, don't panic. We understand what your belongings mean to you. Hence, the authority responds to baggage related queries immediately. You just need to report your issue. Go to the baggage query counter by following the sign boards. Stay calm, you will get your belongings soon. ",Negative
Baggage related queries,Stress,I think I am in a great trouble right now. On the baggage belt I see a bag which is a exact copy of my bag but it is not mine. Almost all other passengers of the flight had left the airport with their baggage. I believe someone took my bag mistakenly. ,"Please, don't panic. We understand what your belongings mean to you. Hence, the authority responds to baggage related queries immediately. You just need to report your issue. Go to the baggage query counter by following the sign boards. Stay calm, you will get your belongings soon. ",Negative
Baggage related queries,Stress,I came here for a holiday with my family but it started with luggage exchange. I can't believe it is happening. The bag contains all my money and crucial things. I need it back and soon. It seems I should not have planned a trip. ,"Please, don't panic. We understand what your belongings mean to you. Hence, the authority responds to baggage related queries immediately. You just need to report your issue. Go to the baggage query counter by following the sign boards. Stay calm, you will get your belongings soon. ",Negative
Baggage related queries,Stress,My small blue duffle bag is missing. I looked for it all over the place but was unable to find it. I wish i had taken it as a cabin bag. Help me getting my bag back.,"Please, don't panic. We understand what your belongings mean to you. Hence, the authority responds to baggage related queries immediately. You just need to report your issue. Go to the baggage query counter by following the sign boards. Stay calm, you will get your belongings soon. ",Negative
Baggage related queries,Stress,I am getting late for a business meeting and it seems that my bag has been missing. I am afraid that getting late for the meeting might cause me my job. ,"Please, don't panic. We understand what your belongings mean to you. Hence, the authority responds to baggage related queries immediately. You just need to report your issue. Go to the baggage query counter by following the sign boards. Stay calm, you will get your belongings soon. ",Negative
Baggage related queries,Stress,This was supposed to be a fun trip for me but as of now it is not going like fun at all. My checked in two suitcase into the flight and got back only one at the destination. Trips like these are meant to release stress not to boost them. ,"Please, don't panic. We understand what your belongings mean to you. Hence, the authority responds to baggage related queries immediately. You just need to report your issue. Go to the baggage query counter by following the sign boards. Stay calm, you will get your belongings soon. ",Negative
Baggage related queries,Stress,I am getting really late to catch my flight and at the very last moment they told me that my baggage is exceeding the weight limit. I weighed my luggage with my machine and it was perfect there. I don't know how this discrepancy came into picture. Help me. ,"Please, don't panic. We understand what your belongings mean to you. Hence, the authority responds to baggage related queries immediately. You just need to report your issue. Go to the baggage query counter by following the sign boards. ",Negative
Baggage related queries,Stress,Hey! I need your help. I am travelling by flight for the first time and was unaware by this baggage weight limit. Now I am exceeding the limits according to the authority. This place is quite unfamiliar to me. I fear I don't miss my flight in this chaos. ,"Please, don't panic. We understand what your belongings mean to you. Hence, the authority responds to baggage related queries immediately. You just need to report your issue. Go to the baggage query counter by following the sign boards. Stay calm, you will get your belongings soon. ",Negative
Baggage related queries,Stress,Is there any exemption in the baggage limit? I exceeded the limit by few pounds only. Help me finding out the quickest solution to this problem else I would miss my flight. ,"Please, don't panic. We understand what your belongings mean to you. Hence, the authority responds to baggage related queries immediately. You just need to report your issue. Go to the baggage query counter by following the sign boards. Stay calm, you will get your belongings soon. ",Negative
Baggage related queries,Stress,Hello there! I need help your help in finding a way to compensate the exceeded baggage limit. I am quite unaware of the overweight charges and process. Please help me finding a fast way to deal with the situation. My flight is about to take off and I am still left with all the other formalities.,"Please, don't panic. We understand what your belongings mean to you. Hence, the authority responds to baggage related queries immediately. You just need to report your issue. Go to the baggage query counter by following the sign boards. Stay calm, you will get your belongings soon. ",Negative
Baggage related queries,Sad,"I lost my bag. All my belongings are there in the bag, what should I do now?","That is very sad, but you don't worry. Thankfully we have a proper tracking system in case of any bag exchange. Take [direction]. You will find the baggage counter in front of you. Report your problem to them.",Negative
Baggage related queries,Sad,"Things are not going good for me today. Suffered loss of money earlier, now dealing with loss of baggage. Life is so unfair sometimes. I don't know what to do next in this unknown city.","That is very sad, but you don't worry. Thankfully we have a proper tracking system in case of any bag exchange. Take [direction]. You will find the baggage counter in front of you. Report your problem to them.",Negative
Baggage related queries,Sad,My bag had all my money I saved for this trip and now the bag itself is missing. I don't find life been fair to me sometimes. This trip was planned after so long. Anyways what could I do now?,"That is very sad, but you don't worry. Thankfully we have a proper tracking system in case of any bag exchange. Take [direction]. You will find the baggage counter in front of you. Report your problem to them.",Negative
Baggage related queries,Sad,"I came back to my hometown as my mother is seriously ill and here i lost my bag having all my documents. I need them to claim medical insurance. My mind is blank now. If you could help in any way, please help me! ","That is very sad, but you don't worry. Thankfully we have a proper tracking system in case of any bag exchange. Take [direction]. You will find the baggage counter in front of you. Report your problem to them.",Negative
Baggage related queries,Sad,Can you help me please! I lost my bag at the airport. I came here for admission in University and therefore all my important documents are in the bag. They are the utmost important thing for me right now. How could I get my bag back?,"That is very sad, but you don't worry. Thankfully we have a proper tracking system in case of any bag exchange. Take [direction]. You will find the baggage counter in front of you. Report your problem to them.",Negative
Baggage related queries,Sad,"Today's events are not going well for me. Previously had a financial loss; currently coping with a baggage loss. Sometimes, life is so unjust. In this unknown city, I have no idea what to do next.","That is very sad, but you don't worry. Thankfully we have a proper tracking system in case of any bag exchange. Take [direction]. You will find the baggage counter in front of you. Report your problem to them.",Negative
Baggage related queries,Sad,"I'm not having a good day right now. earlier suffered a financial loss; currently coping with a loss of luggage. Life can be so unjust at times. In this uncharted metropolis, I'm unsure of what to do next.","That is very sad, but you don't worry. Thankfully we have a proper tracking system in case of any bag exchange. Take [direction]. You will find the baggage counter in front of you. Report your problem to them.",Negative
Baggage related queries,Sad,"Things are not going great for me today. Endured deficiency of cash before, presently managing loss of stuff. Life is so unreasonable some of the time. I don't have the foggiest idea what to do next in this obscure city. Please help! ","That is very sad, but you don't worry. Thankfully we have a proper tracking system in case of any bag exchange. Take [direction]. You will find the baggage counter in front of you. Report your problem to them.",Negative
Baggage related queries,Sad,"All of the money I had set up for this trip was in my luggage, but the bag has already vanished. Life sometimes doesn't treat me fairly, in my opinion. After so much time, a trip was finally scheduled. Anyways, what can I do right now?","That is very sad, but you don't worry. Thankfully we have a proper tracking system in case of any bag exchange. Take [direction]. You will find the baggage counter in front of you. Report your problem to them.",Negative
Baggage related queries,Sad,"All of the money I had saved for this trip was in my backpack, which is now vanished. Sometimes I feel like life hasn't been fair to me. Finally, a trip was scheduled. What could I do now, though?","That is very sad, but you don't worry. Thankfully we have a proper tracking system in case of any bag exchange. Take [direction]. You will find the baggage counter in front of you. Report your problem to them.",Negative
Baggage related queries,Sad,"All of my savings for this vacation were in my luggage, however the bag has already vanished. The world sometimes doesn't treat me fairly. It took a long time to finally plan this vacation. How could I proceed, then?","That is very sad, but you don't worry. Thankfully we have a proper tracking system in case of any bag exchange. Take [direction]. You will find the baggage counter in front of you. Report your problem to them.",Negative
Booking related queries,Stress,A good amount of my money has been blocked in failed transaction while booking the flight. I contacted the merchant also but they said to contact the airlines directly. What am i supposed to do? ,"We value your hard earned money and therefore have a dedicated transaction issue bench to resolve such problem. Kindly head to them. Don't be in hurry, while booking tickets too ;)",Negative
Booking related queries,Stress,"I did something wrong while booking. The payment got deducted from my account successfully and the ticket was booked, but for the wrong date. Is there some way to get it rectified? ","We value your hard earned money and therefore have a dedicated transaction issue bench to resolve such problem. Kindly head to them. Don't be in hurry, while booking tickets too ;)",Negative
Booking related queries,Stress,"I did booking and the payment got stuck, not once but twice. I fear that I had a little amount left in my account and a reasonable amount of my money is on hold. I need to get it resolved ASAP. ","We value your hard earned money and therefore have a dedicated transaction issue bench to resolve such problem. Kindly head to them. Don't be in hurry, while booking tickets too ;)",Negative
Booking related queries,Stress,My booking was successful but the amount deducted from my account is twice the amount of the ticket. I need to consult someone from the department. ,"We value your hard earned money and therefore have a dedicated transaction issue bench to resolve such problem. Kindly head to them. Don't be in hurry, while booking tickets too ;)",Negative
Booking related queries,Stress,"I booked a ticket few days back and tomorrow was my date of departure. While casually looking at the tickets I noticed that by mistake the date of departure is of today. I don't know how it happenend, but I need to solve this. ","Kindly go to the booking query counter, and get you issue resolved. We suggest to book tickets patiently as it involves your hard earned money. ",Negative
Booking related queries,Stress,I mistakenly booked a ticket for the wrong date. It was meant to be a week later. Where i can go to reschedule my ticket?,"Kindly go to the booking query counter, and get you issue resolved. We suggest to book tickets patiently as it involves your hard earned money. ",Negative
Booking related queries,Stress,"My flight is about to leave from the terminal in few mins, and I noticed that my ticket has my name spelt wrong. What should I do now? ","Kindly go to the booking query counter, and get you issue resolved. We suggest to book tickets patiently as it involves your hard earned money. ",Negative
Booking related queries,Stress,"I booked few tickets in bulk, and by bulk i mean around a dozen. Mistakenly i booked all the tickets in a different flight. I believe there must be a way to recitfy my mistake, else it would cost me beyond imagination. ","Kindly go to the booking query counter, and get you issue resolved. We suggest to book tickets patiently as it involves your hard earned money. ",Negative
Booking related queries,Anger,"I did a booking this morning. The payment transaction was successful but the ticket was not booked. I have to reach at the destination today and it's urgent. Get me a ticket using the same amount, I am not going to pay again. ","Sometimes things get weird due to technical glitches. We appologies for the inconvinience. Kindly go to the booking query counter, and get you issue resolved.",Negative
Booking related queries,Anger,The lady at the counter didn't heard me correctly and booked a ticket for the next month. I need to go today only and it is important. I cannot let my money vanish like this. ,"Sometimes things get weird due to technical glitches. We appologies for the inconvinience. Kindly go to the booking query counter, and get you issue resolved.",Negative
Booking related queries,Anger,I booked a ticket with meal but the boarding pass does not mention it anywhere. What is the issue exactly?,"Sometimes things get weird due to technical glitches. We appologies for the inconvinience. Kindly go to the booking query counter, and get you issue resolved.",Negative
Booking related queries,Anger,I planned a surprise trip with my family but your airlines ruined everything. They cancelled my flight booking and sent message to all the mentioned phone numbers. Was it important to send the message on alternative number too?,"Sometimes things get weird due to technical glitches. We appologies for the inconvinience. Kindly go to the booking query counter, and get you issue resolved.",Negative
Booking related queries,Anger,I booked my ticket an hour back. The transaction went successful but the ticket was not booked at all.,"Sometimes things get weird due to technical glitches. We appologies for the inconvinience. Kindly go to the booking query counter, and get you issue resolved.",Negative
Booking related queries,Anger,My bank got debited with the ticket amount but I did not recieved a booked ticket confirmation. I understand the money will be credited to my account in few business days but I have limited amount in account. Therefore I need the refund back soon. ,"Sometimes things get weird due to technical glitches. We appologies for the inconvinience. Kindly go to the booking query counter, and get you issue resolved.",Negative
Booking related queries,Anger,Why don't you people upgrade your technology! My payment got rejected for 3 times in a row. That ridiculous! ,"Sometimes things get weird due to technical glitches. We appologies for the inconvinience. Kindly go to the booking query counter, and get you issue resolved.",Negative
Booking related queries,Anger,Everybody flying via airplanes do not posses big bank balance. Holding huge amounts that too frequently needs an explanation. ,"Sometimes things get weird due to technical glitches. We appologies for the inconvinience. Kindly go to the booking query counter, and get you issue resolved.",Negative
Booking related queries,Anger,"I booked a ticket with veg meal, but don't know how, my pass shows non-veg meal. I am pretty sure with the information I gave, it was veg as selected option. What if didn't noticed it in time? Who would have been responsible?","Sometimes things get weird due to technical glitches. We appologies for the inconvinience. Kindly go to the booking query counter, and get you issue resolved.",Negative
Booking related queries,Anger,"I don't know what type of glitch your online system is having but I tried booking tickets several times. The amount that is displayed initially gets changed at the payment gateway. Now I know this happens because of dynamic pricing but after returning to the homepage, it should display the updated price, right? But guess what it is not the case with your website. ","Sometimes things get weird due to technical glitches. We appologies for the inconvinience. Kindly go to the booking query counter, and get you issue resolved.",Negative
Booking related queries,Anger,"I was booking a ticket for this saturday, and the online system booked a ticket for sunday. Upon talking to the executive I came to know, this happened becuase the tickets for saturday were full. Now my question is am I not supposed to get informed before booking a ticket for a date different from the specified date?","Sometimes things get weird due to technical glitches. We appologies for the inconvinience. Kindly go to the booking query counter, and get you issue resolved.",Negative
Booking related queries,Happy,Me and my family is going on a trip after so long. Get me the way to the booking counter. Can't wait to have my tickets booked!,You should proceed to the booking counter in front of the hall. We wish you a very happy trip ahead. ,Positive
Booking related queries,Happy,I want to book few tickets for vacation. Can you guide me where should I go?,You should proceed to the booking counter in front of the hall. We wish you a very happy trip ahead. ,Positive
Booking related queries,Happy,Want to book flight ticket to the Indies with exactly 1 layover at my desired location. Who can get me informations related to my requirements?,You should proceed to the booking counter in front of the hall. We wish you a very happy trip ahead. ,Positive
Booking related queries,Happy,I wanna book a round trip ticket. Can you tell me the way to the booking counter? ,You should proceed to the booking counter in front of the hall. We wish you a very happy trip ahead. ,Positive
Booking related queries,Happy,"Vacations are always exciting! I am going with my family on a vacation. I had booked tickets already, but just wanted to clear some doubts related to my booking. What path should I follow?",You should proceed to the booking counter in front of the hall. We wish you a very happy trip ahead. ,Positive
Booking related queries,Happy,I have a booking related query. I tried contacting the support over call. Although they assured me that it is not a big issue and will not cause any disturbance to my trip but still I wanted to confirm it myself. Who can help me with this?,You should proceed to the booking counter in front of the hall. We wish you a very happy trip ahead. ,Positive
Booking related queries,Happy,We planned a family trip and booked tickets but there is a family function on the day of departure. We don't want to miss either of the events. Hence I want to reschedule my flight. Whom should I contact among the authorities? ,You should proceed to the booking counter in front of the hall. We wish you a very happy trip ahead. ,Positive
Booking related queries,Happy,I want to book atleast 50 tickets therefore I thought to book them in person. I believe I have to go to some authority instead of someone at counter. ,You should proceed to the booking counter in front of the hall. We wish you a very happy trip ahead. ,Positive
Booking related queries,Happy,"I have been to flights very often but this is the first time I booked the ticket from my very first salary and It feels great! Anyways, I need to get some of my informations rectified. What is the prrocedure?",You should proceed to the booking counter in front of the hall. We wish you a very happy trip ahead. ,Positive
Booking related queries,Happy,"I wish to book couple of tickets together. I was passing by so I thought to get it booked, if the booking process does not take a lot. Which way I have to go?",You should proceed to the booking counter in front of the hall. We wish you a very happy trip ahead. ,Positive
Booking related queries,Happy,I am thinking of taking my family on a surprise trip to the islands. Since it is a surprise I thought to do the bookings manually. Which way should I go?,You should proceed to the booking counter in front of the hall. We wish you a very happy trip ahead. ,Positive
